V,dark,10dbm,12dbm,14dbm,16dbm,18dbm,20dbm
-12.3,-2.5149E-10,-1.60694E-05,-1.09551E-05,-7.51864E-06,-5.45805E-06,-3.8367E-06,-2.99489E-06
-12.4,-2.6449E-10,-1.60967E-05,-1.09475E-05,-7.51332E-06,-5.46358E-06,-3.83556E-06,-2.9888E-06
-12.5,-2.6581E-10,-1.61245E-05,-1.09538E-05,-7.51717E-06,-5.4589E-06,-3.84564E-06,-2.99875E-06
-12.6,-2.7025E-10,-1.61222E-05,-1.09449E-05,-7.52215E-06,-5.47649E-06,-3.83742E-06,-3.00542E-06
-12.7,-2.802E-10,-1.61044E-05,-1.09522E-05,-7.51584E-06,-5.47104E-06,-3.85179E-06,-3.00617E-06
-12.8,-2.8614E-10,-1.60887E-05,-1.09572E-05,-7.53006E-06,-5.47773E-06,-3.84258E-06,-3.0042E-06
-12.9,-2.922E-10,-1.61087E-05,-1.09955E-05,-7.52403E-06,-5.47398E-06,-3.85177E-06,-3.00757E-06
-13,-3.0469E-10,-1.60919E-05,-1.09798E-05,-7.52142E-06,-5.47414E-06,-3.84824E-06,-3.01203E-06
-13.1,-3.0687E-10,-1.61361E-05,-1.10096E-05,-7.52987E-06,-5.46576E-06,-3.84707E-06,-3.01406E-06
-13.2,-3.1842E-10,-1.61189E-05,-1.09797E-05,-7.55025E-06,-5.48063E-06,-3.85376E-06,-3.01976E-06
-13.3,-3.3689E-10,-1.61013E-05,-1.10116E-05,-7.54769E-06,-5.47752E-06,-3.85808E-06,-3.01946E-06
-13.4,-3.3888E-10,-1.61425E-05,-0.000010992,-7.57196E-06,-5.48837E-06,-3.85661E-06,-3.02791E-06
-13.5,-3.462E-10,-0.00001617,-1.10062E-05,-7.5668E-06,-5.49053E-06,-3.85197E-06,-3.02048E-06
-13.6,-3.5722E-10,-1.61534E-05,-0.000010996,-7.56845E-06,-5.48768E-06,-3.86294E-06,-3.02491E-06
-13.7,-3.7014E-10,-1.61443E-05,-1.10094E-05,-7.56984E-06,-5.49081E-06,-3.86393E-06,-3.03336E-06
-13.8,-3.8032E-10,-1.61899E-05,-1.10206E-05,-7.56461E-06,-5.50382E-06,-3.86417E-06,-3.0312E-06
-13.9,-3.9796E-10,-1.61864E-05,-1.10325E-05,-7.57531E-06,-5.50291E-06,-3.86589E-06,-3.03164E-06
-14,-4.0913E-10,-1.62093E-05,-1.10345E-05,-7.58663E-06,-5.49504E-06,-3.85738E-06,-3.03354E-06
-14.1,-4.2943E-10,-1.61953E-05,-1.10478E-05,-7.58698E-06,-5.50253E-06,-3.87347E-06,-3.03139E-06
-14.2,-4.4062E-10,-0.000016218,-1.10551E-05,-7.59712E-06,-5.50444E-06,-3.86499E-06,-3.03383E-06
-14.3,-4.6188E-10,-1.62233E-05,-1.10483E-05,-7.6023E-06,-5.50604E-06,-3.8768E-06,-3.03493E-06
-14.4,-4.9009E-10,-1.62519E-05,-1.10527E-05,-0.000007602,-5.50454E-06,-3.87265E-06,-3.04313E-06
-14.5,-5.0562E-10,-1.62354E-05,-1.10798E-05,-7.60083E-06,-5.52089E-06,-3.87967E-06,-3.04549E-06
-14.6,-5.1224E-10,-1.62648E-05,-0.000011106,-7.60605E-06,-5.52068E-06,-3.88298E-06,-3.05165E-06
-14.7,-5.3525E-10,-1.62844E-05,-1.10991E-05,-7.61055E-06,-5.52418E-06,-3.88458E-06,-3.04677E-06
-14.8,-5.6642E-10,-1.62583E-05,-1.11391E-05,-7.63985E-06,-5.52293E-06,-3.88305E-06,-3.05383E-06
-14.9,-5.737E-10,-1.62954E-05,-0.000011125,-7.62837E-06,-5.51908E-06,-3.88728E-06,-3.05501E-06
-15,-5.9253E-10,-1.63245E-05,-1.11439E-05,-7.64574E-06,-5.5188E-06,-3.88805E-06,-3.06235E-06
-15.1,-6.3573E-10,-1.63163E-05,-1.11303E-05,-7.63987E-06,-5.52998E-06,-3.89394E-06,-3.05829E-06
-15.2,-6.5831E-10,-1.63333E-05,-1.11339E-05,-7.6338E-06,-5.5343E-06,-3.90154E-06,-3.06471E-06
-15.3,-7.1928E-10,-1.63237E-05,-0.000011141,-7.6565E-06,-5.54276E-06,-3.89479E-06,-3.06744E-06
-15.4,-7.6017E-10,-1.63134E-05,-1.11719E-05,-7.65447E-06,-5.55795E-06,-3.90502E-06,-3.06281E-06
-15.5,-7.8382E-10,-1.63034E-05,-1.11781E-05,-7.65961E-06,-5.54672E-06,-3.9109E-06,-3.06736E-06
-15.6,-8.2233E-10,-1.63335E-05,-1.11622E-05,-7.67162E-06,-5.54972E-06,-3.91608E-06,-3.07008E-06
-15.7,-8.7088E-10,-1.63318E-05,-1.11688E-05,-7.67081E-06,-5.56331E-06,-3.9225E-06,-3.06768E-06
-15.8,-9.3611E-10,-1.63286E-05,-1.11701E-05,-7.68153E-06,-5.55967E-06,-3.9224E-06,-3.07331E-06
-15.9,-9.7644E-10,-1.63771E-05,-1.12141E-05,-7.67024E-06,-5.56956E-06,-3.92798E-06,-3.07516E-06
-16,-9.8998E-10,-1.63974E-05,-1.12084E-05,-7.67913E-06,-5.5704E-06,-3.93144E-06,-3.07537E-06
-16.1,-1.02194E-09,-1.64292E-05,-0.000011221,-7.70763E-06,-5.59084E-06,-3.93392E-06,-3.07841E-06
-16.2,-1.09741E-09,-1.64457E-05,-1.12205E-05,-7.71823E-06,-5.58653E-06,-3.93964E-06,-3.08141E-06
-16.3,-1.16014E-09,-1.64397E-05,-1.12142E-05,-7.71909E-06,-5.60373E-06,-3.93494E-06,-3.08691E-06
-16.4,-1.18814E-09,-1.64326E-05,-1.12329E-05,-7.73429E-06,-5.59725E-06,-3.94018E-06,-3.08958E-06
-16.5,-1.27413E-09,-1.64353E-05,-1.12379E-05,-7.71874E-06,-5.60464E-06,-3.95189E-06,-3.0957E-06
-16.6,-1.31171E-09,-1.64534E-05,-1.12411E-05,-7.73745E-06,-5.6143E-06,-3.95286E-06,-3.10215E-06
-16.7,-1.44048E-09,-1.64724E-05,-1.12662E-05,-7.7471E-06,-5.6146E-06,-3.95085E-06,-3.10242E-06
-16.8,-1.45755E-09,-1.65039E-05,-0.000011267,-7.75311E-06,-5.62023E-06,-3.96406E-06,-3.10047E-06
-16.9,-1.52895E-09,-1.64969E-05,-1.12802E-05,-7.76042E-06,-5.62483E-06,-3.96112E-06,-3.10951E-06
-17,-1.6421E-09,-1.65532E-05,-1.13054E-05,-7.7651E-06,-5.63974E-06,-3.97543E-06,-3.10184E-06
-17.1,-1.69975E-09,-1.65397E-05,-0.000011319,-7.77996E-06,-5.64257E-06,-3.97247E-06,-3.1154E-06
-17.2,-1.91763E-09,-1.65246E-05,-1.13211E-05,-7.79071E-06,-5.6475E-06,-3.98637E-06,-3.11451E-06
-17.3,-2.08514E-09,-1.65276E-05,-1.13454E-05,-7.79554E-06,-0.000005646,-3.99564E-06,-0.000003123
-17.4,-2.25071E-09,-1.65581E-05,-1.13592E-05,-7.80814E-06,-5.66159E-06,-3.99407E-06,-3.11349E-06
-17.5,-2.34235E-09,-1.66254E-05,-1.13505E-05,-7.8202E-06,-5.66872E-06,-3.99875E-06,-3.12102E-06
-17.6,-2.49163E-09,-1.66003E-05,-1.13773E-05,-7.83061E-06,-5.66733E-06,-3.99736E-06,-3.12977E-06
-17.7,-2.60117E-09,-1.65789E-05,-1.13731E-05,-7.83421E-06,-5.68466E-06,-3.99502E-06,-3.13508E-06
-17.8,-2.7493E-09,-1.66102E-05,-1.14029E-05,-7.83977E-06,-5.68009E-06,-4.00454E-06,-3.14151E-06
-17.9,-3.00105E-09,-1.66372E-05,-1.13761E-05,-7.84155E-06,-5.69681E-06,-4.01547E-06,-3.14541E-06
-18,-2.9399E-09,-1.66723E-05,-1.14137E-05,-7.88024E-06,-5.70841E-06,-4.02404E-06,-3.15628E-06
-18.1,-3.1383E-09,-1.66728E-05,-1.13933E-05,-7.87668E-06,-5.70849E-06,-4.03487E-06,-3.15378E-06
-18.2,-3.3291E-09,-1.67152E-05,-1.14211E-05,-7.89325E-06,-5.72712E-06,-4.03305E-06,-3.16601E-06
-18.3,-3.3615E-09,-1.67337E-05,-1.13906E-05,-7.89244E-06,-5.74073E-06,-4.03175E-06,-3.16522E-06
-18.4,-3.3239E-09,-1.67417E-05,-1.14203E-05,-7.91111E-06,-5.73734E-06,-4.05027E-06,-3.16984E-06
-18.5,-3.3917E-09,-1.67614E-05,-1.14454E-05,-7.90482E-06,-5.74669E-06,-4.04799E-06,-3.18055E-06
-18.6,-3.3727E-09,-1.67407E-05,-1.14616E-05,-7.92119E-06,-5.7551E-06,-4.05995E-06,-3.18746E-06
-18.7,-3.7162E-09,-1.68168E-05,-1.14963E-05,-7.94342E-06,-5.76118E-06,-4.05556E-06,-3.1872E-06
-18.8,-3.889E-09,-1.68192E-05,-1.15135E-05,-7.96493E-06,-5.76924E-06,-4.05881E-06,-3.19177E-06
-18.9,-3.8946E-09,-1.68698E-05,-1.15575E-05,-7.97199E-06,-5.7715E-06,-4.07283E-06,-0.000003197
-19,-3.9943E-09,-1.68606E-05,-0.000011545,-7.97619E-06,-5.78652E-06,-4.07221E-06,-3.19855E-06
-19.1,-4.3474E-09,-1.68931E-05,-1.15579E-05,-7.99288E-06,-5.80708E-06,-4.07904E-06,-3.20386E-06
-19.2,-4.6097E-09,-1.68773E-05,-1.15898E-05,-7.99164E-06,-5.80569E-06,-4.0894E-06,-3.20859E-06
-19.3,-4.7562E-09,-1.69337E-05,-1.15999E-05,-8.00605E-06,-5.83362E-06,-4.08943E-06,-3.21616E-06
-19.4,-4.7522E-09,-1.69228E-05,-1.16092E-05,-8.00336E-06,-5.8272E-06,-4.10213E-06,-3.22198E-06
-19.5,-5.1165E-09,-1.69531E-05,-0.000011641,-8.02213E-06,-5.83979E-06,-4.11401E-06,-3.22779E-06
-19.6,-5.4224E-09,-1.69637E-05,-1.16416E-05,-8.03794E-06,-5.86499E-06,-4.11122E-06,-3.23107E-06
-19.7,-6.1824E-09,-0.000016974,-1.16648E-05,-8.03178E-06,-5.85537E-06,-4.12452E-06,-3.23918E-06
